[2022-08-23 01:06:02] Node GetValue(2): TRUE
[2022-08-23 01:06:03] Node GetValue(9): 1
[2022-08-23 01:06:03] Node GetValue(2): TRUE
[2022-08-23 01:06:06] Node GetValue(9): 1
[2022-08-23 01:06:06] Node GetValue(2): TRUE
[2022-08-23 01:06:06] Node GetValue(9): 1
[2022-08-23 01:06:06] Node GetValue(2): TRUE
[2022-08-23 07:45:58] Node GetValue(9): 1
[2022-08-23 07:45:58] Node GetValue(2): TRUE
[2022-08-23 07:46:00] Node GetValue(9): 1
[2022-08-23 07:46:00] Node GetValue(2): TRUE
[2022-08-23 07:46:03] Node GetValue(9): 1
[2022-08-23 07:46:03] Node GetValue(2): TRUE
[2022-08-23 07:46:04] Node GetValue(9): 1
[2022-08-23 07:46:04] Node GetValue(2): TRUE
[2022-08-23 13:48:49] Node GetValue(9): 1
[2022-08-23 13:48:49] Node GetValue(2): TRUE
[2022-08-23 13:48:50] Node GetValue(9): 1
[2022-08-23 13:48:50] Node GetValue(2): TRUE
[2022-08-23 13:48:54] Node GetValue(9): 1
[2022-08-23 13:48:54] Node GetValue(2): TRUE
[2022-08-23 13:48:55] Node GetValue(9): 1
[2022-08-23 13:48:55] Node GetValue(2): TRUE
[2022-08-23 19:38:16] Node GetValue(9): 1
[2022-08-23 19:38:16] Node GetValue(2): TRUE
[2022-08-23 19:38:18] Node GetValue(9): 1
[2022-08-23 19:38:18] Node GetValue(2): TRUE
[2022-08-23 19:38:22] Node GetValue(9): 1
[2022-08-23 19:38:22] Node GetValue(2): TRUE
[2022-08-23 19:38:23] Node GetValue(9): 1
[2022-08-23 19:38:23] Node GetValue(2): TRUE
[2022-08-23 21:32:09] Node GetValue(9): 1
[2022-08-23 21:32:09] Node GetValue(2): TRUE
[2022-08-23 21:32:11] Node GetValue(9): 1
[2022-08-23 21:32:11] Node GetValue(2): TRUE
[2022-08-23 21:32:14] Node GetValue(9): 1
[2022-08-23 21:32:14] Node GetValue(2): TRUE
[2022-08-23 21:32:15] Node GetValue(9): 1
[2022-08-23 21:32:15] Node GetValue(2): TRUE
[2022-08-24 16:13:38] Node GetValue(9): 1
[2022-08-24 16:13:38] Node GetValue(2): TRUE
[2022-08-24 16:13:39] Node GetValue(9): 1
[2022-08-24 16:13:39] Node GetValue(2): TRUE
